sample_id,idtest_run,test_type,idtest_recipe,Test_Version,test_run_start_datetime,RunIndex,test_request_name,ElectricalTestTool,ElectricalTestChannel,is_discharge_only,ChargeCapacity,CapacityChargeFraction,dvdt,min_track_cycle_voltage,CycleIndex,CumulativeCycles,TestCycleStart_datetime,TestCycleStart_date,TestCycleStart_week,TestCycleEnd_datetime,TestCycleStart_datetime_first,TestCycleStart_week_first,TestCycleEnd_date,TestCycleEnd_week,track_cycle_count_cumulative,MiscTestAnomaly,ReliabilityCycles,CompletedCharge,CycleFailure,dvdt_failure,min_track_cycle_voltage_failure,CapacityChargeFraction_failure,AnyFailure,ChargeCapacity_failure,Experiment,Batch,WorkWeek,Group,ML Tier,center_normalized_0_5mm_eroded_rect_outside_median_us,Condition,Shorted
FCD008AA-PS00-04,189181994,E31,15936,R6_B0_TC_45C_8lap_V1,2/20/2025 5:59,11,VAM0477,SJ2-Maccor22,85,0,1277.5033,0.8570339,-4.2837087,3.04784,3,10,2/20/2025 9:51,2/20/2025,Y2025-W08,2/20/2025 11:50,2/8/2025 20:56,Y2025-W06,2/20/2025,Y2025-W08,8,,8,,FALSE,0,0,0,FALSE,,FCD008,FCD008AA,Y2025-W06,FCD008,Tier 1,1.0725525617599487,Jetting POR,FALSE
MLB006AA-PS00-01,188731894,E31,15894,R6_A1_TC_45C_7lap_V3,1/2/2025 5:10,82,KAL0616,SJ2-Maccor23,49,0,1198.8462,0.80427086,-9.891494,2.44076,3,145,1/2/2025 8:55,1/2/2025,Y2025-W01,1/2/2025 10:51,12/19/2024 20:21,Y2024-W51,1/2/2025,Y2025-W01,118,,118,,TRUE,0,1,0,TRUE,,MLB006,MLB006AA,Y2024-W51,MLB006,Tier 1,1.0290433168411257,Baseline,TRUE
MLB006AA-PS00-02,188730017,E31,15894,R6_A1_TC_45C_7lap_V3,12/31/2024 18:11,73,KAL0617,SJ2-Maccor23,65,0,1085.4763,0.7292417,-30.887226,2.79873,1,125,12/31/2024 18:11,12/31/2024,Y2025-W01,12/31/2024 20:04,12/19/2024 20:20,Y2024-W51,12/31/2024,Y2025-W01,101,,101,,TRUE,1,0,0,TRUE,,MLB006,MLB006AA,Y2024-W51,MLB006,Tier 1,1.0287292003631592,Baseline,TRUE
MLB006AA-PS00-03,188731587,E31,15894,R6_A1_TC_45C_7lap_V3,1/1/2025 18:07,79,KAL0617,SJ2-Maccor23,69,0,1371.3502,0.91999876,,,3,139,1/1/2025 21:54,1/1/2025,Y2025-W01,1/1/2025 22:51,12/19/2024 20:19,Y2024-W51,1/1/2025,Y2025-W01,112,,113,,TRUE,0,0,1,TRUE,,MLB006,MLB006AA,Y2024-W51,MLB006,Tier 1,1.0299875736236572,Baseline,TRUE
MLB006AB-PS00-01,188844691,E31,15895,R6_A1_TC_45C_8lap_V1,1/16/2025 13:27,66,NAR0129,SJ2-Maccor23,17,0,1331.6576,0.89674515,-33.213146,2.94797,3,115,1/16/2025 17:18,1/16/2025,Y2025-W03,1/16/2025 19:20,12/20/2024 19:00,Y2024-W51,1/16/2025,Y2025-W03,92,,93,,TRUE,1,0,0,TRUE,,MLB006,MLB006AB,Y2024-W51,MLB006,Tier 1,1.0465842485427856,Baseline,TRUE
MLB006AB-PS00-02,189151291,E31,15936,R6_B0_TC_45C_8lap_V1,2/15/2025 18:29,125,NAR0191,SJ2-Maccor23,1,0,1369.42,0.92,,,5,219,2/16/2025 2:21,2/16/2025,Y2025-W07,2/16/2025 3:08,12/20/2024 18:56,Y2024-W51,2/16/2025,Y2025-W07,173,,175,,TRUE,0,0,1,TRUE,,MLB006,MLB006AB,Y2024-W51,MLB006,Tier 1,1.057617425918579,Baseline,TRUE
MLB006AC-PS00-01,189112204,E31,15936,R6_B0_TC_45C_8lap_V1,2/12/2025 3:57,141,NAR0191,SJ2-Maccor23,5,0,1370.247,0.91999924,,,2,247,2/12/2025 5:50,2/12/2025,Y2025-W07,2/12/2025 6:37,12/30/2024 17:47,Y2025-W01,2/12/2025,Y2025-W07,196,,198,,TRUE,0,0,1,TRUE,,MLB006,MLB006AC,Y2025-W01,MLB006,Tier 1,1.079100251197815,Baseline,TRUE
MLB006AC-PS00-02,189152687,E31,15936,R6_B0_TC_45C_8lap_V1,2/16/2025 7:35,149,NAR0191,SJ2-Maccor23,9,0,1293.6268,0.8699399,-8.069206,2.87045,5,268,2/16/2025 15:28,2/16/2025,Y2025-W08,2/16/2025 17:28,12/30/2024 17:47,Y2025-W01,2/16/2025,Y2025-W08,215,,216,,FALSE,0,0,0,FALSE,,MLB006,MLB006AC,Y2025-W01,MLB006,Tier 1,1.0477662086486816,Baseline,FALSE
MLB006AC-PS00-03,188756797,E31,15895,R6_A1_TC_45C_8lap_V1,1/6/2025 13:37,33,DAG0119,SJ2-Maccor23,17,0,1285.1289,0.8618779,-15.95785,2.96895,3,53,1/6/2025 17:29,1/6/2025,Y2025-W02,1/6/2025 19:29,12/30/2024 17:47,Y2025-W01,1/6/2025,Y2025-W02,43,,44,,TRUE,1,0,0,TRUE,,MLB006,MLB006AC,Y2025-W01,MLB006,Tier 1,1.056387186050415,Baseline,TRUE
MLB006AC-PS00-04,188841449,E31,15895,R6_A1_TC_45C_8lap_V1,1/16/2025 1:27,65,NAR0129,SJ2-Maccor23,69,0,1366.7039,0.9199985,,,2,109,1/16/2025 3:19,1/16/2025,Y2025-W03,1/16/2025 4:12,12/30/2024 17:48,Y2025-W01,1/16/2025,Y2025-W03,86,,88,,TRUE,0,0,1,TRUE,,MLB006,MLB006AC,Y2025-W01,MLB006,Tier 1,1.0648071765899658,Baseline,TRUE
